runtime,memory_mb,payload_size,mode,n,init_p50_ms,init_p95_ms,init_p99_ms,dur_p50_ms,dur_p95_ms,dur_p99_ms,billed_p50_ms,max_mem_p95_mb
java-jvm,512,100k,cold,50,1117.26,1447.61,1471.65,5835.00,6642.85,6851.24,5835.00,182.0
java-jvm,512,100k,warm,50,,,,29.00,50.20,52.00,29.00,180.0
java-jvm,512,1k,cold,50,1109.16,1434.08,1461.60,5777.50,6500.50,6599.60,5777.50,181.0
java-jvm,512,1k,warm,50,,,,23.00,39.55,51.59,23.00,181.0
java-jvm,512,1m,cold,50,1102.38,1422.33,1459.80,5832.00,6679.10,6770.18,5832.00,190.0
java-jvm,512,1m,warm,50,,,,98.50,113.30,120.00,98.50,223.0
java-jvm,1024,100k,cold,50,1087.38,1441.86,1464.69,3325.50,3917.60,3979.06,3325.50,183.0
java-jvm,1024,100k,warm,50,,,,16.00,22.55,24.51,16.00,181.0
java-jvm,1024,1k,cold,50,1111.99,1451.46,1472.05,3320.00,3878.10,3926.57,3320.00,181.6
java-jvm,1024,1k,warm,50,,,,14.00,19.10,25.04,14.00,184.0
java-jvm,1024,1m,cold,50,1091.82,1420.16,1446.37,3374.50,3967.55,4032.97,3374.50,196.0
java-jvm,1024,1m,warm,50,,,,53.00,64.55,70.06,53.00,233.0
java-jvm,1769,100k,cold,50,1114.96,1446.15,1459.14,2398.50,2931.15,2961.73,2398.50,189.0
java-jvm,1769,100k,warm,50,,,,15.50,18.10,22.53,15.50,191.0
java-jvm,1769,1k,cold,50,1125.49,1439.01,1442.78,2396.50,2915.05,2954.65,2396.50,188.0
java-jvm,1769,1k,warm,50,,,,15.00,19.00,20.53,15.00,188.0
java-jvm,1769,1m,cold,50,1106.17,1430.48,1449.68,2400.50,2921.95,2940.24,2400.50,195.0
java-jvm,1769,1m,warm,50,,,,39.00,46.55,51.06,39.00,219.0
java-jvm-snapstart,512,100k,cold,25,931.49,1055.85,1070.93,10775.00,11338.40,11453.96,10775.00,175.0
java-jvm-snapstart,512,100k,warm,25,,,,57.00,133.60,172.92,57.00,175.0
java-jvm-snapstart,512,1k,cold,25,940.80,1022.01,1048.35,10315.00,10969.40,11153.84,10315.00,173.0
java-jvm-snapstart,512,1k,warm,25,,,,51.00,78.60,110.92,51.00,172.0
java-jvm-snapstart,512,1m,cold,25,949.12,1078.27,1102.33,11014.00,11631.60,11829.24,11014.00,183.8
java-jvm-snapstart,512,1m,warm,25,,,,88.00,150.20,156.52,88.00,203.0
java-jvm-snapstart,1024,100k,cold,25,715.09,853.17,862.10,5569.00,5915.20,5937.80,5569.00,173.8
java-jvm-snapstart,1024,100k,warm,25,,,,27.00,78.00,104.04,27.00,175.0
java-jvm-snapstart,1024,1k,cold,25,705.19,871.58,910.41,5463.00,5854.20,5902.52,5463.00,172.0
java-jvm-snapstart,1024,1k,warm,25,,,,21.00,45.40,47.76,21.00,172.0
java-jvm-snapstart,1024,1m,cold,25,697.72,775.89,788.80,5797.00,5980.20,6041.60,5797.00,181.8
java-jvm-snapstart,1024,1m,warm,25,,,,41.00,84.00,118.64,41.00,204.0
java-jvm-snapstart,1769,100k,cold,25,647.38,704.23,795.02,3535.00,3697.60,3770.32,3535.00,179.0
java-jvm-snapstart,1769,100k,warm,25,,,,20.00,31.80,42.64,20.00,178.8
java-jvm-snapstart,1769,1k,cold,25,658.00,740.27,758.75,3553.00,3658.00,3702.32,3553.00,175.0
java-jvm-snapstart,1769,1k,warm,25,,,,17.00,29.80,34.56,17.00,173.0
java-jvm-snapstart,1769,1m,cold,25,625.85,715.02,772.52,3661.00,3871.00,3952.72,3661.00,184.8
java-jvm-snapstart,1769,1m,warm,25,,,,31.00,41.80,45.80,31.00,198.8
java-jvm-snapstart-primed,512,100k,cold,25,939.46,1095.77,1124.48,10283.00,11051.00,11905.44,10283.00,174.0
java-jvm-snapstart-primed,512,100k,warm,25,,,,50.00,111.60,116.80,50.00,177.0
java-jvm-snapstart-primed,512,1k,cold,25,944.68,1089.96,1133.84,10342.00,10935.80,11011.48,10342.00,174.8
java-jvm-snapstart-primed,512,1k,warm,25,,,,51.00,92.00,97.80,51.00,172.0
java-jvm-snapstart-primed,512,1m,cold,25,906.56,1024.33,1052.95,10710.00,11327.40,11341.08,10710.00,182.8
java-jvm-snapstart-primed,512,1m,warm,25,,,,102.00,163.80,171.84,102.00,208.0
java-jvm-snapstart-primed,1024,100k,cold,25,707.27,764.83,768.30,5813.00,5999.00,6068.40,5813.00,172.0
java-jvm-snapstart-primed,1024,100k,warm,25,,,,27.00,54.60,55.76,27.00,174.0
java-jvm-snapstart-primed,1024,1k,cold,25,696.24,742.72,768.51,5698.00,5971.60,6025.36,5698.00,173.0
java-jvm-snapstart-primed,1024,1k,warm,25,,,,22.00,41.20,43.52,22.00,170.0
java-jvm-snapstart-primed,1024,1m,cold,25,714.77,777.09,798.57,5979.00,6357.60,6495.80,5979.00,183.0
java-jvm-snapstart-primed,1024,1m,warm,25,,,,45.00,77.00,77.76,45.00,202.8
java-jvm-snapstart-primed,1769,100k,cold,25,653.55,736.48,761.77,3739.00,3976.20,4027.88,3739.00,178.6
java-jvm-snapstart-primed,1769,100k,warm,25,,,,19.00,29.80,31.52,19.00,173.0
java-jvm-snapstart-primed,1769,1k,cold,25,650.12,704.19,709.27,3754.00,3928.00,3987.16,3754.00,176.0
java-jvm-snapstart-primed,1769,1k,warm,25,,,,20.00,23.80,33.12,20.00,174.0
java-jvm-snapstart-primed,1769,1m,cold,25,657.17,702.13,813.86,3858.00,4018.60,4095.00,3858.00,182.8
java-jvm-snapstart-primed,1769,1m,warm,25,,,,31.00,38.20,43.56,31.00,197.0
java-native,512,100k,cold,50,389.04,526.92,542.07,446.00,589.20,615.18,446.00,93.0
java-native,512,100k,warm,50,,,,11.00,13.00,13.00,11.00,128.6
